term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
phase,15,0.0,0.0,0.0001,0.0037,0.0,0.0002,0.0003,0.0,0.0,0.0,0.0186,0.0
evolutionsmechanismen,15,0.0,0.0,0.0207,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
setzen,15,0.0,0.0,0.0001,0.0033,0.0,0.0002,0.0,0.0,0.0,0.0,0.0226,0.0
vermeiden,14,0.0,0.0,0.0001,0.0001,0.0,0.0172,0.0018,0.0,0.0,0.0,0.0001,0.0
bär,14,0.0,0.0,0.0001,0.0001,0.0,0.0279,0.0,0.0,0.0,0.0,0.0001,0.0
computergestützt,14,0.0,0.0,0.0194,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
einzeln,14,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0009,0.0171,0.0
sonderstellung,14,0.0,0.0,0.0001,0.0104,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
luft,13,0.0,0.0,0.0178,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
niveau,13,0.0,0.0,0.0001,0.0108,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
phylogenetik,12,0.0,0.0,0.0166,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
rev,12,0.0,0.0,0.0001,0.0095,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
bearbeiten,11,0.0001,0.0,0.0001,0.0001,0.0,0.0171,0.0,0.0,0.0005,0.0,0.0001,0.0
pflanzlich,10,0.0,0.0,0.0001,0.01,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
tierisch,10,0.0,0.0,0.0001,0.01,0.0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0
anthropozän,9,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0032,0.0123,0.0
manipulationsversuche,9,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0109,0.0
weiß,8,0.0,0.0,0.0001,0.0001,0.0,0.0157,0.0,0.0,0.0,0.0,0.0001,0.0
pigment,7,0.0,0.0,0.0001,0.0001,0.0,0.014,0.0,0.0,0.0,0.0,0.0001,0.0
